SIB (dec),SIB,SS,Index,Base,Scaled Index,r32
123,7B,1,7,3,[EDI*2],EBX
124,7C,1,7,4,[EDI*2],ESP
125,7D,1,7,5,[EDI*2],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
126,7E,1,7,6,[EDI*2],ESI
127,7F,1,7,7,[EDI*2],EDI
128,80,2,0,0,[EAX*4],EAX
129,81,2,0,1,[EAX*4],ECX
130,82,2,0,2,[EAX*4],EDX
131,83,2,0,3,[EAX*4],EBX
132,84,2,0,4,[EAX*4],ESP
133,85,2,0,5,[EAX*4],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
134,86,2,0,6,[EAX*4],ESI
135,87,2,0,7,[EAX*4],EDI
136,88,2,1,0,[ECX*4],EAX
137,89,2,1,1,[ECX*4],ECX
138,8A,2,1,2,[ECX*4],EDX
139,8B,2,1,3,[ECX*4],EBX
140,8C,2,1,4,[ECX*4],ESP
141,8D,2,1,5,[ECX*4],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
142,8E,2,1,6,[ECX*4],ESI
143,8F,2,1,7,[ECX*4],EDI
144,90,2,2,0,[EDX*4],EAX
145,91,2,2,1,[EDX*4],ECX
146,92,2,2,2,[EDX*4],EDX
147,93,2,2,3,[EDX*4],EBX
148,94,2,2,4,[EDX*4],ESP
149,95,2,2,5,[EDX*4],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
150,96,2,2,6,[EDX*4],ESI
151,97,2,2,7,[EDX*4],EDI
152,98,2,3,0,[EBX*4],EAX
153,99,2,3,1,[EBX*4],ECX
154,9A,2,3,2,[EBX*4],EDX
155,9B,2,3,3,[EBX*4],EBX
156,9C,2,3,4,[EBX*4],ESP
157,9D,2,3,5,[EBX*4],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
158,9E,2,3,6,[EBX*4],ESI
159,9F,2,3,7,[EBX*4],EDI
160,A0,2,4,0,,EAX
161,A1,2,4,1,,ECX
162,A2,2,4,2,,EDX
163,A3,2,4,3,,EBX
164,A4,2,4,4,,ESP
165,A5,2,4,5,,"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
166,A6,2,4,6,,ESI
167,A7,2,4,7,,EDI
168,A8,2,5,0,[EBP*4],EAX
169,A9,2,5,1,[EBP*4],ECX
170,AA,2,5,2,[EBP*4],EDX
171,AB,2,5,3,[EBP*4],EBX
172,AC,2,5,4,[EBP*4],ESP
173,AD,2,5,5,[EBP*4],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
174,AE,2,5,6,[EBP*4],ESI
175,AF,2,5,7,[EBP*4],EDI
176,B0,2,6,0,[ESI*4],EAX
177,B1,2,6,1,[ESI*4],ECX
178,B2,2,6,2,[ESI*4],EDX
179,B3,2,6,3,[ESI*4],EBX
180,B4,2,6,4,[ESI*4],ESP
181,B5,2,6,5,[ESI*4],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
182,B6,2,6,6,[ESI*4],ESI
183,B7,2,6,7,[ESI*4],EDI
184,B8,2,7,0,[EDI*4],EAX
185,B9,2,7,1,[EDI*4],ECX
186,BA,2,7,2,[EDI*4],EDX
187,BB,2,7,3,[EDI*4],EBX
188,BC,2,7,4,[EDI*4],ESP
189,BD,2,7,5,[EDI*4],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
190,BE,2,7,6,[EDI*4],ESI
191,BF,2,7,7,[EDI*4],EDI
192,C0,3,0,0,[EAX*8],EAX
193,C1,3,0,1,[EAX*8],ECX
194,C2,3,0,2,[EAX*8],EDX
195,C3,3,0,3,[EAX*8],EBX
196,C4,3,0,4,[EAX*8],ESP
197,C5,3,0,5,[EAX*8],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
198,C6,3,0,6,[EAX*8],ESI
199,C7,3,0,7,[EAX*8],EDI
200,C8,3,1,0,[ECX*8],EAX
201,C9,3,1,1,[ECX*8],ECX
202,CA,3,1,2,[ECX*8],EDX
203,CB,3,1,3,[ECX*8],EBX
204,CC,3,1,4,[ECX*8],ESP
205,CD,3,1,5,[ECX*8],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
206,CE,3,1,6,[ECX*8],ESI
207,CF,3,1,7,[ECX*8],EDI
208,D0,3,2,0,[EDX*8],EAX
209,D1,3,2,1,[EDX*8],ECX
210,D2,3,2,2,[EDX*8],EDX
211,D3,3,2,3,[EDX*8],EBX
212,D4,3,2,4,[EDX*8],ESP
213,D5,3,2,5,[EDX*8],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
214,D6,3,2,6,[EDX*8],ESI
215,D7,3,2,7,[EDX*8],EDI
216,D8,3,3,0,[EBX*8],EAX
217,D9,3,3,1,[EBX*8],ECX
218,DA,3,3,2,[EBX*8],EDX
219,DB,3,3,3,[EBX*8],EBX
220,DC,3,3,4,[EBX*8],ESP
221,DD,3,3,5,[EBX*8],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
222,DE,3,3,6,[EBX*8],ESI
223,DF,3,3,7,[EBX*8],EDI
224,E0,3,4,0,,EAX
225,E1,3,4,1,,ECX
