ModR/M (dec),ModR/M,MOD,REG,RM,Effective Address,r32,r16,r8,mm,xmm,/digit
0,00,0,0,0,[BX+SI],,,,,,
1,01,0,0,1,[BX+DI],,,,,,
2,02,0,0,2,[BX+DI],,,,,,
3,03,0,0,3,[BP+DI],,,,,,
4,04,0,0,4,[SI],,,,,,
5,05,0,0,5,[DI],,,,,,
6,06,0,0,6,disp16,,,,,,
7,07,0,0,7,[BX],,,,,,
8,08,0,1,0,[BX+SI],,,,,,
9,09,0,1,1,[BX+DI],,,,,,
10,0A,0,1,2,[BX+DI],,,,,,
11,0B,0,1,3,[BP+DI],,,,,,
12,0C,0,1,4,[SI],,,,,,
13,0D,0,1,5,[DI],,,,,,
14,0E,0,1,6,disp16,,,,,,
15,0F,0,1,7,[BX],,,,,,
16,10,0,2,0,[BX+SI],,,,,,
17,11,0,2,1,[BX+DI],,,,,,
18,12,0,2,2,[BX+DI],,,,,,
19,13,0,2,3,[BP+DI],,,,,,
20,14,0,2,4,[SI],,,,,,
21,15,0,2,5,[DI],,,,,,
22,16,0,2,6,disp16,,,,,,
23,17,0,2,7,[BX],,,,,,
24,18,0,3,0,[BX+SI],,,,,,
25,19,0,3,1,[BX+DI],,,,,,
26,1A,0,3,2,[BX+DI],,,,,,
27,1B,0,3,3,[BP+DI],,,,,,
28,1C,0,3,4,[SI],,,,,,
29,1D,0,3,5,[DI],,,,,,
30,1E,0,3,6,disp16,,,,,,
31,1F,0,3,7,[BX],,,,,,
32,20,0,4,0,[BX+SI],,,,,,
33,21,0,4,1,[BX+DI],,,,,,
34,22,0,4,2,[BX+DI],,,,,,
35,23,0,4,3,[BP+DI],,,,,,
36,24,0,4,4,[SI],,,,,,
37,25,0,4,5,[DI],,,,,,
38,26,0,4,6,disp16,,,,,,
39,27,0,4,7,[BX],,,,,,
40,28,0,5,0,[BX+SI],,,,,,
41,29,0,5,1,[BX+DI],,,,,,
42,2A,0,5,2,[BX+DI],,,,,,
43,2B,0,5,3,[BP+DI],,,,,,
44,2C,0,5,4,[SI],,,,,,
45,2D,0,5,5,[DI],,,,,,
46,2E,0,5,6,disp16,,,,,,
47,2F,0,5,7,[BX],,,,,,
48,30,0,6,0,[BX+SI],,,,,,
49,31,0,6,1,[BX+DI],,,,,,
50,32,0,6,2,[BX+DI],,,,,,
51,33,0,6,3,[BP+DI],,,,,,
52,34,0,6,4,[SI],,,,,,
53,35,0,6,5,[DI],,,,,,
54,36,0,6,6,disp16,,,,,,
55,37,0,6,7,[BX],,,,,,
56,38,0,7,0,[BX+SI],,,,,,
57,39,0,7,1,[BX+DI],,,,,,
58,3A,0,7,2,[BX+DI],,,,,,
59,3B,0,7,3,[BP+DI],,,,,,
60,3C,0,7,4,[SI],,,,,,
61,3D,0,7,5,[DI],,,,,,
62,3E,0,7,6,disp16,,,,,,
63,3F,0,7,7,[BX],,,,,,
64,40,1,0,0,[BX+SI]+disp8,,,,,,
65,41,1,0,1,[BX+DI]+disp8,,,,,,
66,42,1,0,2,[BP+SI]+disp8,,,,,,
67,43,1,0,3,[BP+DI]+disp8,,,,,,
68,44,1,0,4,[SI]+disp8,,,,,,
69,45,1,0,5,[DI]+disp8,,,,,,
70,46,1,0,6,[BP]+disp8,,,,,,
71,47,1,0,7,[BX]+disp8,,,,,,
72,48,1,1,0,[BX+SI]+disp8,,,,,,
73,49,1,1,1,[BX+DI]+disp8,,,,,,
74,4A,1,1,2,[BP+SI]+disp8,,,,,,
75,4B,1,1,3,[BP+DI]+disp8,,,,,,
76,4C,1,1,4,[SI]+disp8,,,,,,
77,4D,1,1,5,[DI]+disp8,,,,,,
78,4E,1,1,6,[BP]+disp8,,,,,,
79,4F,1,1,7,[BX]+disp8,,,,,,
80,50,1,2,0,[BX+SI]+disp8,,,,,,
81,51,1,2,1,[BX+DI]+disp8,,,,,,
82,52,1,2,2,[BP+SI]+disp8,,,,,,
83,53,1,2,3,[BP+DI]+disp8,,,,,,
84,54,1,2,4,[SI]+disp8,,,,,,
85,55,1,2,5,[DI]+disp8,,,,,,
86,56,1,2,6,[BP]+disp8,,,,,,
87,57,1,2,7,[BX]+disp8,,,,,,
88,58,1,3,0,[BX+SI]+disp8,,,,,,
89,59,1,3,1,[BX+DI]+disp8,,,,,,
90,5A,1,3,2,[BP+SI]+disp8,,,,,,
91,5B,1,3,3,[BP+DI]+disp8,,,,,,
92,5C,1,3,4,[SI]+disp8,,,,,,
93,5D,1,3,5,[DI]+disp8,,,,,,
94,5E,1,3,6,[BP]+disp8,,,,,,
95,5F,1,3,7,[BX]+disp8,,,,,,
96,60,1,4,0,[BX+SI]+disp8,,,,,,
97,61,1,4,1,[BX+DI]+disp8,,,,,,
98,62,1,4,2,[BP+SI]+disp8,,,,,,
99,63,1,4,3,[BP+DI]+disp8,,,,,,
100,64,1,4,4,[SI]+disp8,,,,,,
101,65,1,4,5,[DI]+disp8,,,,,,
102,66,1,4,6,[BP]+disp8,,,,,,
103,67,1,4,7,[BX]+disp8,,,,,,
104,68,1,5,0,[BX+SI]+disp8,,,,,,
105,69,1,5,1,[BX+DI]+disp8,,,,,,
106,6A,1,5,2,[BP+SI]+disp8,,,,,,
107,6B,1,5,3,[BP+DI]+disp8,,,,,,
108,6C,1,5,4,[SI]+disp8,,,,,,
109,6D,1,5,5,[DI]+disp8,,,,,,
110,6E,1,5,6,[BP]+disp8,,,,,,
111,6F,1,5,7,[BX]+disp8,,,,,,
112,70,1,6,0,[BX+SI]+disp8,,,,,,
113,71,1,6,1,[BX+DI]+disp8,,,,,,
114,72,1,6,2,[BP+SI]+disp8,,,,,,
115,73,1,6,3,[BP+DI]+disp8,,,,,,
116,74,1,6,4,[SI]+disp8,,,,,,
117,75,1,6,5,[DI]+disp8,,,,,,
118,76,1,6,6,[BP]+disp8,,,,,,
119,77,1,6,7,[BX]+disp8,,,,,,
120,78,1,7,0,[BX+SI]+disp8,,,,,,
121,79,1,7,1,[BX+DI]+disp8,,,,,,
122,7A,1,7,2,[BP+SI]+disp8,,,,,,
123,7B,1,7,3,[BP+DI]+disp8,,,,,,
124,7C,1,7,4,[SI]+disp8,,,,,,
125,7D,1,7,5,[DI]+disp8,,,,,,
126,7E,1,7,6,[BP]+disp8,,,,,,
127,7F,1,7,7,[BX]+disp8,,,,,,
128,80,2,0,0,[BX+SI]+disp16,,,,,,
129,81,2,0,1,[BX+DI]+disp16,,,,,,
130,82,2,0,2,[BP+SI]+disp16,,,,,,
131,83,2,0,3,[BP+DI]+disp16,,,,,,
132,84,2,0,4,[SI]+disp16,,,,,,
133,85,2,0,5,[DI]+disp16,,,,,,
134,86,2,0,6,[BP]+disp16,,,,,,
135,87,2,0,7,[BX]+disp16,,,,,,
136,88,2,1,0,[BX+SI]+disp16,,,,,,
137,89,2,1,1,[BX+DI]+disp16,,,,,,
138,8A,2,1,2,[BP+SI]+disp16,,,,,,
139,8B,2,1,3,[BP+DI]+disp16,,,,,,
140,8C,2,1,4,[SI]+disp16,,,,,,
141,8D,2,1,5,[DI]+disp16,,,,,,
142,8E,2,1,6,[BP]+disp16,,,,,,
143,8F,2,1,7,[BX]+disp16,,,,,,
144,90,2,2,0,[BX+SI]+disp16,,,,,,
145,91,2,2,1,[BX+DI]+disp16,,,,,,
146,92,2,2,2,[BP+SI]+disp16,,,,,,
147,93,2,2,3,[BP+DI]+disp16,,,,,,
148,94,2,2,4,[SI]+disp16,,,,,,
149,95,2,2,5,[DI]+disp16,,,,,,
150,96,2,2,6,[BP]+disp16,,,,,,
151,97,2,2,7,[BX]+disp16,,,,,,
152,98,2,3,0,[BX+SI]+disp16,,,,,,
153,99,2,3,1,[BX+DI]+disp16,,,,,,
154,9A,2,3,2,[BP+SI]+disp16,,,,,,
155,9B,2,3,3,[BP+DI]+disp16,,,,,,
156,9C,2,3,4,[SI]+disp16,,,,,,
157,9D,2,3,5,[DI]+disp16,,,,,,
158,9E,2,3,6,[BP]+disp16,,,,,,
159,9F,2,3,7,[BX]+disp16,,,,,,
160,A0,2,4,0,[BX+SI]+disp16,,,,,,
161,A1,2,4,1,[BX+DI]+disp16,,,,,,
162,A2,2,4,2,[BP+SI]+disp16,,,,,,
163,A3,2,4,3,[BP+DI]+disp16,,,,,,
164,A4,2,4,4,[SI]+disp16,,,,,,
165,A5,2,4,5,[DI]+disp16,,,,,,
166,A6,2,4,6,[BP]+disp16,,,,,,
167,A7,2,4,7,[BX]+disp16,,,,,,
168,A8,2,5,0,[BX+SI]+disp16,,,,,,
169,A9,2,5,1,[BX+DI]+disp16,,,,,,
170,AA,2,5,2,[BP+SI]+disp16,,,,,,
171,AB,2,5,3,[BP+DI]+disp16,,,,,,
172,AC,2,5,4,[SI]+disp16,,,,,,
173,AD,2,5,5,[DI]+disp16,,,,,,
174,AE,2,5,6,[BP]+disp16,,,,,,
175,AF,2,5,7,[BX]+disp16,,,,,,
176,B0,2,6,0,[BX+SI]+disp16,,,,,,
177,B1,2,6,1,[BX+DI]+disp16,,,,,,
178,B2,2,6,2,[BP+SI]+disp16,,,,,,
179,B3,2,6,3,[BP+DI]+disp16,,,,,,
180,B4,2,6,4,[SI]+disp16,,,,,,
181,B5,2,6,5,[DI]+disp16,,,,,,
182,B6,2,6,6,[BP]+disp16,,,,,,
183,B7,2,6,7,[BX]+disp16,,,,,,
184,B8,2,7,0,[BX+SI]+disp16,,,,,,
185,B9,2,7,1,[BX+DI]+disp16,,,,,,
186,BA,2,7,2,[BP+SI]+disp16,,,,,,
187,BB,2,7,3,[BP+DI]+disp16,,,,,,
188,BC,2,7,4,[SI]+disp16,,,,,,
189,BD,2,7,5,[DI]+disp16,,,,,,
190,BE,2,7,6,[BP]+disp16,,,,,,
191,BF,2,7,7,[BX]+disp16,,,,,,
192,C0,3,0,0,EAX/AX/AL/MM0/XMM0,EAX,AX,AL,MM0,XMM0,0
193,C1,3,0,1,ECX/CX/CL/MM1/XMM1,ECX,CX,CL,MM1,XMM1,0
194,C2,3,0,2,EDX/DX/DL/MM2/XMM2,EDX,DX,DL,MM2,XMM2,0
195,C3,3,0,3,EBX/BX/BL/MM3/XMM3,EBX,BX,BL,MM3,XMM3,0
196,C4,3,0,4,ESP/SP/AH/MM4/XMM4,ESP,SP,AH,MM4,XMM4,0
197,C5,3,0,5,EBP/BP/CH/MM5/XMM5,EBP,BP,CH,MM5,XMM5,0
198,C6,3,0,6,ESI/SI/DH/MM6/XMM6,ESI,SI,DH,MM6,XMM6,0
199,C7,3,0,7,EDI/DI/BH/MM7/XMM7,EDI,DI,BH,MM7,XMM7,0
200,C8,3,1,0,EAX/AX/AL/MM0/XMM0,EAX,AX,AL,MM0,XMM0,1
201,C9,3,1,1,ECX/CX/CL/MM1/XMM1,ECX,CX,CL,MM1,XMM1,1
202,CA,3,1,2,EDX/DX/DL/MM2/XMM2,EDX,DX,DL,MM2,XMM2,1
203,CB,3,1,3,EBX/BX/BL/MM3/XMM3,EBX,BX,BL,MM3,XMM3,1
204,CC,3,1,4,ESP/SP/AH/MM4/XMM4,ESP,SP,AH,MM4,XMM4,1
205,CD,3,1,5,EBP/BP/CH/MM5/XMM5,EBP,BP,CH,MM5,XMM5,1
206,CE,3,1,6,ESI/SI/DH/MM6/XMM6,ESI,SI,DH,MM6,XMM6,1
207,CF,3,1,7,EDI/DI/BH/MM7/XMM7,EDI,DI,BH,MM7,XMM7,1
208,D0,3,2,0,EAX/AX/AL/MM0/XMM0,EAX,AX,AL,MM0,XMM0,2
209,D1,3,2,1,ECX/CX/CL/MM1/XMM1,ECX,CX,CL,MM1,XMM1,2
210,D2,3,2,2,EDX/DX/DL/MM2/XMM2,EDX,DX,DL,MM2,XMM2,2
211,D3,3,2,3,EBX/BX/BL/MM3/XMM3,EBX,BX,BL,MM3,XMM3,2
212,D4,3,2,4,ESP/SP/AH/MM4/XMM4,ESP,SP,AH,MM4,XMM4,2
213,D5,3,2,5,EBP/BP/CH/MM5/XMM5,EBP,BP,CH,MM5,XMM5,2
214,D6,3,2,6,ESI/SI/DH/MM6/XMM6,ESI,SI,DH,MM6,XMM6,2
215,D7,3,2,7,EDI/DI/BH/MM7/XMM7,EDI,DI,BH,MM7,XMM7,2
216,D8,3,3,0,EAX/AX/AL/MM0/XMM0,EAX,AX,AL,MM0,XMM0,3
217,D9,3,3,1,ECX/CX/CL/MM1/XMM1,ECX,CX,CL,MM1,XMM1,3
218,DA,3,3,2,EDX/DX/DL/MM2/XMM2,EDX,DX,DL,MM2,XMM2,3
219,DB,3,3,3,EBX/BX/BL/MM3/XMM3,EBX,BX,BL,MM3,XMM3,3
220,DC,3,3,4,ESP/SP/AH/MM4/XMM4,ESP,SP,AH,MM4,XMM4,3
221,DD,3,3,5,EBP/BP/CH/MM5/XMM5,EBP,BP,CH,MM5,XMM5,3
222,DE,3,3,6,ESI/SI/DH/MM6/XMM6,ESI,SI,DH,MM6,XMM6,3
223,DF,3,3,7,EDI/DI/BH/MM7/XMM7,EDI,DI,BH,MM7,XMM7,3
224,E0,3,4,0,EAX/AX/AL/MM0/XMM0,EAX,AX,AL,MM0,XMM0,4
225,E1,3,4,1,ECX/CX/CL/MM1/XMM1,ECX,CX,CL,MM1,XMM1,4
226,E2,3,4,2,EDX/DX/DL/MM2/XMM2,EDX,DX,DL,MM2,XMM2,4
227,E3,3,4,3,EBX/BX/BL/MM3/XMM3,EBX,BX,BL,MM3,XMM3,4
228,E4,3,4,4,ESP/SP/AH/MM4/XMM4,ESP,SP,AH,MM4,XMM4,4
229,E5,3,4,5,EBP/BP/CH/MM5/XMM5,EBP,BP,CH,MM5,XMM5,4
230,E6,3,4,6,ESI/SI/DH/MM6/XMM6,ESI,SI,DH,MM6,XMM6,4
231,E7,3,4,7,EDI/DI/BH/MM7/XMM7,EDI,DI,BH,MM7,XMM7,4
232,E8,3,5,0,EAX/AX/AL/MM0/XMM0,EAX,AX,AL,MM0,XMM0,5
233,E9,3,5,1,ECX/CX/CL/MM1/XMM1,ECX,CX,CL,MM1,XMM1,5
234,EA,3,5,2,EDX/DX/DL/MM2/XMM2,EDX,DX,DL,MM2,XMM2,5
235,EB,3,5,3,EBX/BX/BL/MM3/XMM3,EBX,BX,BL,MM3,XMM3,5
236,EC,3,5,4,ESP/SP/AH/MM4/XMM4,ESP,SP,AH,MM4,XMM4,5
237,ED,3,5,5,EBP/BP/CH/MM5/XMM5,EBP,BP,CH,MM5,XMM5,5
238,EE,3,5,6,ESI/SI/DH/MM6/XMM6,ESI,SI,DH,MM6,XMM6,5
239,EF,3,5,7,EDI/DI/BH/MM7/XMM7,EDI,DI,BH,MM7,XMM7,5
240,F0,3,6,0,EAX/AX/AL/MM0/XMM0,EAX,AX,AL,MM0,XMM0,6
241,F1,3,6,1,ECX/CX/CL/MM1/XMM1,ECX,CX,CL,MM1,XMM1,6
242,F2,3,6,2,EDX/DX/DL/MM2/XMM2,EDX,DX,DL,MM2,XMM2,6
243,F3,3,6,3,EBX/BX/BL/MM3/XMM3,EBX,BX,BL,MM3,XMM3,6
244,F4,3,6,4,ESP/SP/AH/MM4/XMM4,ESP,SP,AH,MM4,XMM4,6
245,F5,3,6,5,EBP/BP/CH/MM5/XMM5,EBP,BP,CH,MM5,XMM5,6
246,F6,3,6,6,ESI/SI/DH/MM6/XMM6,ESI,SI,DH,MM6,XMM6,6
247,F7,3,6,7,EDI/DI/BH/MM7/XMM7,EDI,DI,BH,MM7,XMM7,6
248,F8,3,7,0,EAX/AX/AL/MM0/XMM0,EAX,AX,AL,MM0,XMM0,7
249,F9,3,7,1,ECX/CX/CL/MM1/XMM1,ECX,CX,CL,MM1,XMM1,7
250,FA,3,7,2,EDX/DX/DL/MM2/XMM2,EDX,DX,DL,MM2,XMM2,7
251,FB,3,7,3,EBX/BX/BL/MM3/XMM3,EBX,BX,BL,MM3,XMM3,7
252,FC,3,7,4,ESP/SP/AH/MM4/XMM4,ESP,SP,AH,MM4,XMM4,7
253,FD,3,7,5,EBP/BP/CH/MM5/XMM5,EBP,BP,CH,MM5,XMM5,7
254,FE,3,7,6,ESI/SI/DH/MM6/XMM6,ESI,SI,DH,MM6,XMM6,7
255,FF,3,7,7,EDI/DI/BH/MM7/XMM7,EDI,DI,BH,MM7,XMM7,7
